mdv_deuda,debt_currency,debt_amount,debt_dollars,debt_months,country,departamento,municipio,neighborhood,Latitude,Longitude
9,1,1600,1600,24,SLV,1197,15810,Los encuentros,13.7939,88.8705
9,1,3000,3000,34,SLV,1197,15812,canton isla de mendez,13.8261,88.8147
9,1,6000,6000,24,SLV,1197,15812,ISLA DE MENDEZ,13.8261,88.8147
9,1,4097,4097,36,SLV,1197,15812,San Marcos Lempa,13.8261,88.8147
9,1,20000,20000,12,SLV,1197,15812,Barrio el Calvario,13.8261,88.8147
9,,,,12,SLV,1197,15815,Barrio Concepci_n ,13.6667,88.7833
9,1,900,900,18,SLV,1197,15820,San Cristobal,13.8847,88.7499
9,,,,12,SLV,1197,15827,Puerto Parada,13.7905,88.7819
9,,,0,0,HND,901726,1021447,Agua Caliente,14.9333,88.2333
9,2,2050,82,24,HND,901726,1021447,Agua Caliente,14.9333,88.2333
9,2,16400,656,60,HND,901730,1021513,Cuyamel,15.7408,88.3352
9,2,11890,475.6,60,HND,901730,1021518,El zapote San Francisco de Yojoa,14.9982,87.9335
9,2,5945,237.8,36,HND,901742,1021721,La Meseta,15.0165,88.0327
9,1,8000,8000,12,HND,901742,1021725,Tejeras,14.2792,88.4083
9,3,4550,591.5,100,GT,GT12,GT1201,Los arcos pradera,14.5689,90.4953
9,3,13000,1690,48,GT,GT12,GT1210,TEJUTLA,14.6647,90.3581
9,3,14300,1859,60,GT,GT12,GT1210,CALIFORNIA,14.6647,90.3581
9,3,10400,1352,48,GT,GT12,GT1210,IXMULCA,14.6647,90.3581
9,3,5200,676,8,GT,GT12,GT1210,IXMULCA,14.6647,90.3581
9,3,15.6,2.028,60,GT,GT12,GT1210,HERMON,14.6647,90.3581
9,,,,36,GT,GT12,GT1210,LAS MINAS,14.6647,90.3581
9,3,13000,1690,15,GT,GT12,GT1210,LOS LAURELES,14.6647,90.3581
9,,,,36,GT,GT12,GT1210,LOS LAURELES,14.6647,90.3581
9,,,,48,GT,GT12,GT1210,TOJUCHOC,14.6647,90.3581
9,,,,36,GT,GT12,GT1210,CULVILLA,14.6647,90.3581
9,,,,9,GT,GT12,GT1210,LOS ARCOS,14.6647,90.3581
9,3,650,84.5,6,GT,GT13,GT1303,Caserio el Basurero,14.4806,90.8124
9,,,,5,GT,GT13,GT1305,Aldea Zalaj Chiquito,14.5269,90.7592
9,3,650,84.5,12,GT,GT13,GT1305,Aldea Tzala Chiquito,14.5269,90.7592
9,3,2340,304.2,88,GT,GT13,GT1305,Aldea Tzojbal,14.5269,90.7592
9,,,,24,GT,GT13,GT1305,La Trinidad,14.5269,90.7592
9,3,4160,540.8,12,GT,GT13,GT1309,Barrio calle de la excelencia,14.5686,90.7158
9,3,3900,507,5,GT,GT13,GT1310,Aldea Chicol,14.5661,90.7343
9,3,1950,253.5,12,GT,GT13,GT1312,Camojallito,14.6093,90.6769
9,,,,24,GT,GT13,GT1314,INC_,14.6353,90.6771
9,3,10400,1352,24,GT,GT13,GT1316,Aldea semuc,14.6469,90.7333
9,3,1300,169,4,GT,GT13,GT1318,Bulej,15.932,91.5717
9,3,6500,845,5,GT,GT13,GT1318,Aldea el platanar,15.932,91.5717
9,3,1950,253.5,12,GT,GT13,GT1329,Sector urbano,14.5586,90.7295
9,3,3250,422.5,72,GT,GT13,GT1329,San Gaspar Ixil,14.5586,90.7295
9,3,1040,135.2,12,GT,GT13,GT1332,CASA GRANDE,14.5586,90.7295
9,3,6500,845,60,GT,GT16,GT1606,Aldea Chicoban,14.9722,89.5294
9,3,650,84.5,1,GT,GT16,GT1615,Aldea Sequisquib,14.9722,89.5294
9,3,5850,760.5,36,GT,GT20,GT2005,Caparja,15.0217,91.1489
9,,,,72,GT,GT20,GT2006,Olopa,15.0217,91.1489
9,3,2600,338,24,GT,GT20,GT2006,Olopa,15.0217,91.1489
9,3,8.71,1.1323,24,GT,GT20,GT2007,Esquipulas,15.0217,91.1489
9,3,7800,1014,12,GT,GT20,GT2011,Ipala,15.0217,91.1489
9,3,3250,422.5,36,GT,GT20,GT2011,Ipala,15.0217,91.1489
9,3,234,30.42,4,GT,GT20,GT2011,La Coronada Arriba,15.0217,91.1489